╧ invoice;Year of sale;Month of Sale;Date of sale;Product ID;Quantity;Price;Sum;Customer;Purchase cost;Shipping date
000-070010;2017;8;22;уб.нд-3417;1;260.1312;260.1312;Customer 537;186.44;22.08.2017
000-070010;2017;8;22;уб.нд-3381;1;6228.9326;6228.9326;Customer 537;3166.08;22.08.2017
000-070012;2019;3;8;уб.нд-3229;1;248.34843;248.34843;;167.89;11.03.2019
000-070012;2019;3;8;уб.нд-3441;1;657.624;657.624;;320.1;11.03.2019
000-070013;2017;11;10;уб.нд-3144;1;499.7696;499.7696;;274.8;10.11.2017
000-070018;2018;5;12;уб.нд-3413;2;191.092;382.184;;207.68;14.05.2018
000-070018;2018;5;12;уб.нд-3404;1;161.007;161.007;;118.65;14.05.2018
000-070024;2018;3;9;уб.нд-3305;1;243.3536;243.3536;;154;09.03.2018
000-070030;2017;7;21;уб.нд-3335;1;279.50336;279.50336;;169.28;26.07.2017
000-070077;2019;6;28;уб.нд-3238;2;429.5112;859.0224;;491.96;30.06.2019
000-070081;2018;4;4;уб.нд-3152;2;236.72;473.44;;252.5;05.04.2018
000-070081;2018;4;4;уб.нд-3165;1;641.88288;641.88288;;223.86;05.04.2018
000-070081;2018;4;4;уб.нд-3174;1;2505.00312;2505.00312;;1189.44;05.04.2018
000-070081;2018;4;4;уб.нд-3435;2;515.679;1031.358;;473.1;05.04.2018
000-070081;2018;4;4;уб.нд-3250;1;296.6976;296.6976;;139.68;05.04.2018
000-070083;2018;1;13;уб.нд-3236;1;645.75;645.75;;405;13.01.2018
000-070083;2018;1;13;уб.нд-3442;1;1428.1834;1428.1834;;740.88;13.01.2018
000-070083;2018;1;13;уб.нд-3358;1;394.416;394.416;;306.24;13.01.2018
000-070083;2018;1;13;уб.нд-3156;1;438.33684;438.33684;;270.3;13.01.2018
000-070083;2018;1;13;уб.нд-3200;1;747.285264;747.285264;;373.68;13.01.2018
000-070085;2017;11;13;уб.нд-3202;1;6199.7215;6199.7215;;3269.63;13.11.2017
000-070086;2017;10;17;уб.нд-3182;1;1600.01024;1600.01024;Customer 504;741.6;22.10.2017
000-070105;2019;2;16;уб.нд-3340;1;991.381248;991.381248;;572.3;16.02.2019
000-070105;2019;2;16;уб.нд-3342;1;1331.37368;1331.37368;;946.57;16.02.2019
000-070105;2019;2;16;уб.нд-3425;1;379.1037;379.1037;;160.59;16.02.2019
000-070105;2019;2;16;уб.нд-3183;1;1524.2508664;1524.2508664;;804.58;16.02.2019
000-070105;2019;2;16;уб.нд-3200;1;603.307744;603.307744;;339.08;16.02.2019
000-070105;2019;2;16;уб.нд-3321;2;226.2708;452.5416;;275.52;16.02.2019
000-070105;2019;2;16;уб.нд-3170;1;1279.94412;1279.94412;;555.21;16.02.2019
000-070110;2019;3;3;уб.нд-3195;1;3241.26;3241.26;;1473.3;03.03.2019
000-070110;2019;3;3;уб.нд-3270;1;1318.6912;1318.6912;;763.42;03.03.2019
000-070110;2019;3;3;уб.нд-3237;1;109.6704;109.6704;;60.48;03.03.2019
000-070110;2019;3;3;уб.нд-3153;1;410.06936;410.06936;;200.55;03.03.2019
000-070110;2019;3;3;уб.нд-3176;1;1266.25032;1266.25032;;728.14;03.03.2019
000-070115;2017;5;22;уб.нд-3185;1;729.3952;729.3952;;444.14;24.05.2017
000-070115;2017;5;22;уб.нд-3400;2;199.234;398.468;;218.28;24.05.2017
000-070119;2017;12;27;уб.нд-3406;1;395.577;395.577;;205.66;27.12.2017
000-070119;2017;12;27;уб.нд-3386;1;660.4542;660.4542;;333.9;27.12.2017
000-070134;2018;9;22;уб.нд-3256;1;1845.299;1845.299;Customer 1051;1002.82;27.09.2018
000-070146;2018;12;26;уб.нд-3224;1;86.94;86.94;;47.25;26.12.2018
000-070146;2018;12;26;уб.нд-3280;1;2124.279756;2124.279756;;1906.05;26.12.2018
000-070146;2018;12;26;уб.нд-3232;1;230.0672;230.0672;;147.44;26.12.2018
000-070146;2018;12;26;уб.нд-3186;1;1739.16288;1739.16288;;779.22;26.12.2018
000-070146;2018;12;26;уб.нд-3322;1;432.779776;432.779776;;282.7;26.12.2018
000-070149;2019;8;10;уб.нд-3394;1;114.1254;114.1254;;47.94;14.08.2019
000-070149;2019;8;10;уб.нд-3233;1;299.439;299.439;;204.75;14.08.2019
000-070155;2018;11;20;уб.нд-3211;1;3296.1576;3296.1576;;2037.6;24.11.2018
000-070194;2017;12;6;уб.нд-3387;1;479.52;479.52;;234;06.12.2017
000-070194;2017;12;6;уб.нд-3128;1;558.272;558.272;;253;06.12.2017
000-070194;2017;12;6;уб.нд-3306;1;299.8904;299.8904;;202.95;06.12.2017
000-070221;2018;7;26;уб.нд-3145;1;530.42496;530.42496;;222.78;26.07.2018
000-070223;2019;8;3;уб.нд-3342;1;1006.577024;1006.577024;Customer 280;1010.9;03.08.2019
000-070224;2018;7;28;уб.нд-3223;2;59.241;118.482;Customer 823;73.16;02.08.2018
000-070224;2018;7;28;уб.нд-3303;1;629.4912;629.4912;Customer 823;409.5;02.08.2018
000-070224;2018;7;28;уб.нд-3247;2;505.89;1011.78;Customer 823;429.24;02.08.2018
000-070228;2018;3;6;уб.нд-3234;1;655.9488;655.9488;;335.8;06.03.2018
000-070228;2018;3;6;уб.нд-3437;2;537.82344;1075.64688;;574.56;06.03.2018
000-070255;2017;3;30;уб.нд-3294;1;3299.64288;3299.64288;;1910.08;30.03.2017
000-070259;2017;2;27;уб.нд-3256;1;2192.6494;2192.6494;;1102;27.02.2017
000-070280;2017;7;28;уб.нд-3314;1;208.3312;208.3312;;145.6;01.08.2017
000-070280;2017;7;28;уб.нд-3289;2;4825.92768;9651.85536;;5166.24;01.08.2017
000-070280;2017;7;28;уб.нд-3248;1;490.4064;490.4064;;265.74;01.08.2017
000-070284;2017;5;4;уб.нд-3411;1;636.272;636.272;;418;04.05.2017
000-070284;2017;5;4;уб.нд-3303;1;628.84224;628.84224;;417.3;04.05.2017
000-070284;2017;5;4;уб.нд-3135;1;1054.10928;1054.10928;;482.51;04.05.2017
000-070284;2017;5;4;уб.нд-3170;1;1322.14008;1322.14008;;597;04.05.2017
000-070284;2017;5;4;уб.нд-3359;1;676.498;676.498;;386.75;04.05.2017
000-070286;2017;2;8;уб.нд-3391;1;399.21882;399.21882;Customer 904;245.31;13.02.2017
000-070286;2017;2;8;уб.нд-3167;1;784.036;784.036;Customer 904;318.32;13.02.2017
000-070286;2017;2;8;уб.нд-3182;1;2146.3552;2146.3552;Customer 904;791.04;13.02.2017
000-070292;2017;5;25;уб.нд-3293;1;3294.7596;3294.7596;;2559.45;30.05.2017
000-070294;2018;3;29;уб.нд-3261;2;2254.6836;4509.3672;;1895.4;29.03.2018
000-070294;2018;3;29;уб.нд-3301;1;239.274;239.274;;137.7;29.03.2018
000-070294;2018;3;29;уб.нд-3184;1;2217.61152;2217.61152;;1042.44;29.03.2018
000-070314;2017;9;20;уб.нд-3166;2;483.14;966.28;;578.2;20.09.2017
000-070314;2017;9;20;уб.нд-3323;1;594.33472;594.33472;;393.76;20.09.2017
