╧ invoice;Year of sale;Month of Sale;Date of sale;Product ID;Quantity;Price;Sum;Customer;Purchase cost;Shipping date
000-070006;2017;12;28;уб.нд-3222;1;324.8336;324.8336;;220.8;02.01.2018
000-070023;2019;6;4;уб.нд-3352;1;810.9504;810.9504;Customer 863;558.22;05.06.2019
000-070026;2018;4;3;уб.нд-3383;1;474.152448;474.152448;;219.45;08.04.2018
000-070048;2019;3;4;уб.нд-3241;1;601.53192;601.53192;;384.12;08.03.2019
000-070048;2019;3;4;уб.нд-3346;1;827.99888;827.99888;;448.26;08.03.2019
000-070048;2019;3;4;уб.нд-3367;1;1721.4336;1721.4336;;1371.24;08.03.2019
000-070048;2019;3;4;уб.нд-3387;1;457.92;457.92;;184;08.03.2019
000-070057;2017;1;18;уб.нд-3266;1;795.8934;795.8934;;507.18;18.01.2017
000-070057;2017;1;18;уб.нд-3381;1;5158.296264;5158.296264;;3166.08;18.01.2017
000-070057;2017;1;18;уб.нд-3368;2;1927.6208;3855.2416;;2373.18;18.01.2017
000-070102;2018;8;13;уб.нд-3113;1;5020.5684;5020.5684;;1865.31;18.08.2018
000-070102;2018;8;13;уб.нд-3356;1;529.6896;529.6896;;300.3;18.08.2018
000-070102;2018;8;13;уб.нд-3219;1;1091.2062;1091.2062;;576.81;18.08.2018
000-070102;2018;8;13;уб.нд-3116;1;304.12992;304.12992;;131.1;18.08.2018
000-070102;2018;8;13;уб.нд-3300;2;379.23072;758.46144;;552.08;18.08.2018
000-070102;2018;8;13;уб.нд-3344;2;904.141056;1808.282112;;1567.66;18.08.2018
000-070102;2018;8;13;уб.нд-3286;1;408.48;408.48;;264.5;18.08.2018
000-070102;2018;8;13;уб.нд-3405;1;255.6117;255.6117;;144.44;18.08.2018
000-070112;2019;5;8;уб.нд-3330;1;456.57;456.57;;269.67;12.05.2019
000-070118;2018;3;14;уб.нд-3115;1;623.817376;623.817376;;368.52;14.03.2018
000-070118;2018;3;14;уб.нд-3155;2;425.86656;851.73312;;533.4;14.03.2018
000-070127;2017;4;13;уб.нд-3249;1;629.5128;629.5128;;327.54;13.04.2017
000-070132;2017;1;15;уб.нд-3239;1;784.548;784.548;;388.5;16.01.2017
000-070139;2019;5;7;уб.нд-3213;1;374.8425;374.8425;;144.69;08.05.2019
000-070151;2017;11;21;уб.нд-3258;1;1050.1596;1050.1596;Customer 1165;450.26;26.11.2017
000-070157;2017;6;27;уб.нд-3196;1;1461.10646;1461.10646;;694.66;27.06.2017
000-070196;2019;7;24;уб.нд-3437;1;548.856;548.856;;262.08;24.07.2019
000-070196;2019;7;24;уб.нд-3155;1;515.602728;515.602728;;246.38;24.07.2019
000-070196;2019;7;24;уб.нд-3198;1;1670.12352;1670.12352;;1138.32;24.07.2019
000-070196;2019;7;24;уб.нд-3247;1;519.687;519.687;;238.71;24.07.2019
000-070213;2017;4;24;уб.нд-3337;1;192.1568;192.1568;;125.4;24.04.2017
000-070213;2017;4;24;уб.нд-3174;1;2114.31456;2114.31456;;955.8;24.04.2017
000-070218;2018;5;27;уб.нд-3110;1;2836.75832;2836.75832;;1358.92;27.05.2018
000-070218;2018;5;27;уб.нд-3260;1;1964.4768;1964.4768;;1144.8;27.05.2018
000-070218;2018;5;27;уб.нд-3247;1;472.91517;472.91517;;245.28;27.05.2018
000-070247;2018;8;18;уб.нд-3157;1;282.5135104;282.5135104;;155.53;21.08.2018
000-070247;2018;8;18;уб.нд-3380;1;2850.228;2850.228;;1389;21.08.2018
000-070249;2017;12;8;уб.нд-3391;1;333.260928;333.260928;;243.1;11.12.2017
000-070249;2017;12;8;уб.нд-3347;1;961.2736;961.2736;;513.97;11.12.2017
000-070266;2017;9;4;уб.нд-3356;1;524.172;524.172;;382.8;04.09.2017
000-070268;2018;6;17;уб.нд-3185;1;738.51264;738.51264;;402.24;19.06.2018
000-070268;2018;6;17;уб.нд-3120;1;7136.96064;7136.96064;;2724.6;19.06.2018
000-070271;2017;9;19;уб.нд-3417;2;297.2928;594.5856;;331.8;19.09.2017
000-070271;2017;9;19;уб.нд-3145;1;438.62064;438.62064;;244.11;19.09.2017
000-070282;2019;1;23;уб.нд-3193;1;2660.260224;2660.260224;;2080.12;28.01.2019
000-070289;2019;2;26;уб.нд-3349;1;615.65112;615.65112;;384.93;02.03.2019
000-070289;2019;2;26;уб.нд-3329;1;567.84;567.84;;460.2;02.03.2019
000-070289;2019;2;26;уб.нд-3294;1;3369.5176704;3369.5176704;;1910.08;02.03.2019
000-070304;2018;9;13;уб.нд-3341;2;350.88;701.76;;531.48;18.09.2018
000-070321;2017;3;13;уб.нд-3389;1;604.43264;604.43264;;490.23;16.03.2017
000-070325;2017;7;22;уб.нд-3380;1;2565.2052;2565.2052;;1639.02;22.07.2017
000-070328;2018;8;3;уб.нд-3114;1;338.2288;338.2288;;171.12;03.08.2018
000-070328;2018;8;3;уб.нд-3131;1;495.824;495.824;;230.67;03.08.2018
000-070349;2018;11;26;уб.нд-3315;1;333.844056;333.844056;;256.02;29.11.2018
000-070351;2019;8;29;уб.нд-3206;2;2374.0407;4748.0814;;3094.74;30.08.2019
000-070351;2019;8;29;уб.нд-3431;2;2086.628544;4173.257088;;2464;30.08.2019
000-070351;2019;8;29;уб.нд-3180;1;1623.90888;1623.90888;;704.94;30.08.2019
000-070351;2019;8;29;уб.нд-3200;1;596.598112;596.598112;;352.92;30.08.2019
000-070366;2019;2;3;уб.нд-3208;1;4195.125;4195.125;Customer 735;2193.75;08.02.2019
000-070398;2017;10;1;уб.нд-3365;1;1750.813;1750.813;;1058.34;01.10.2017
000-070398;2017;10;1;уб.нд-3163;1;413.89056;413.89056;;216;01.10.2017
000-070398;2017;10;1;уб.нд-3418;1;335.124;335.124;;228.98;01.10.2017
000-070418;2017;2;24;уб.нд-3131;1;485.90752;485.90752;;260.96;24.02.2017
000-070428;2019;7;24;уб.нд-3268;1;815.0148;815.0148;Customer 899;412.92;24.07.2019
000-070432;2019;4;4;уб.нд-3339;1;590.122368;590.122368;;447.26;09.04.2019
000-070434;2019;5;27;уб.нд-3413;1;177.99936;177.99936;;99.44;27.05.2019
000-070434;2019;5;27;уб.нд-3371;2;423.4032;846.8064;;515.16;27.05.2019
000-070434;2019;5;27;уб.нд-3327;1;499.00032;499.00032;;384;27.05.2019
000-070447;2019;8;20;уб.нд-3275;1;393.272;393.272;;241.9;21.08.2019
000-070447;2019;8;20;уб.нд-3201;2;270.110461;540.220922;;286.9;21.08.2019
000-070447;2019;8;20;уб.нд-3121;2;7766.9646;15533.9292;;8219.76;21.08.2019
000-070450;2018;5;12;уб.нд-3199;1;391.32288;391.32288;;191.1;16.05.2018
000-070450;2018;5;12;уб.нд-3249;1;654.444;654.444;;337.08;16.05.2018
000-070450;2018;5;12;уб.нд-3408;1;342.6816;342.6816;;215.28;16.05.2018
000-070450;2018;5;12;уб.нд-3404;1;145.14192;145.14192;;116.55;16.05.2018
000-070463;2017;11;10;уб.нд-3435;1;613.3866;613.3866;;246.51;10.11.2017
000-070463;2017;11;10;уб.нд-3181;1;1115.714304;1115.714304;;853.74;10.11.2017
000-070484;2017;3;14;уб.нд-3396;1;330.7216;330.7216;;191.84;15.03.2017
000-070498;2018;5;7;уб.нд-3169;2;2184.03456;4368.06912;Customer 741;1686.6;07.05.2018
000-070498;2018;5;7;уб.нд-3161;1;286.42336;286.42336;Customer 741;181.56;07.05.2018
000-070498;2018;5;7;уб.нд-3235;1;368.8037;368.8037;Customer 741;218.67;07.05.2018
000-070498;2018;5;7;уб.нд-3417;1;331.3576;331.3576;Customer 741;167.48;07.05.2018
000-070498;2018;5;7;уб.нд-3299;1;522.46656;522.46656;Customer 741;379.62;07.05.2018
000-070520;2019;7;6;уб.нд-3118;2;6705.36576;13410.73152;;5399.46;09.07.2019
000-070525;2017;3;4;уб.нд-3257;1;1208.36295;1208.36295;;648.6;04.03.2017
000-070525;2017;3;4;уб.нд-3306;1;380.3488;380.3488;;186.55;04.03.2017
000-070533;2018;7;23;уб.нд-3413;1;185.416;185.416;;93.28;23.07.2018
000-070533;2018;7;23;уб.нд-3318;1;214.1856;214.1856;;142.04;23.07.2018
000-070533;2018;7;23;уб.нд-3196;1;1312.8335;1312.8335;;879.41;23.07.2018
