╧ invoice;Year of sale;Month of Sale;Date of sale;Product ID;Quantity;Price;Sum;Customer;Purchase cost;Shipping date
000-070008;2019;7;12;уб.нд-3336;1;225.65816;225.65816;;145.95;16.07.2019
000-070008;2019;7;12;уб.нд-3318;1;261.7824;261.7824;;136.68;16.07.2019
000-070008;2019;7;12;уб.нд-3319;1;346.104;346.104;;214.7;16.07.2019
000-070016;2018;2;12;уб.нд-3155;1;374.154192;374.154192;Customer 450;246.38;12.02.2018
000-070020;2019;2;23;уб.нд-3232;1;349.676;349.676;;150.48;24.02.2019
000-070052;2019;7;5;уб.нд-3170;2;1167.42156;2334.84312;;1194;05.07.2019
000-070052;2019;7;5;уб.нд-3124;1;3599.8751712;3599.8751712;;1718.2;05.07.2019
000-070052;2019;7;5;уб.нд-3129;1;384.79648;384.79648;;208.89;05.07.2019
000-070052;2019;7;5;уб.нд-3235;1;287.43876;287.43876;;189.12;05.07.2019
000-070052;2019;7;5;уб.нд-3247;1;355.41072;355.41072;;210.24;05.07.2019
000-070084;2017;8;20;уб.нд-3428;1;2189.85906;2189.85906;Customer 1149;1280.44;24.08.2017
000-070084;2017;8;20;уб.нд-3376;1;6354.7344;6354.7344;Customer 1149;3289.2;24.08.2017
000-070099;2018;10;8;уб.нд-3395;1;465.817;465.817;;275.6;12.10.2018
000-070099;2018;10;8;уб.нд-3149;2;438.7446;877.4892;;498.2;12.10.2018
000-070099;2018;10;8;уб.нд-3311;2;334.5408;669.0816;;422.4;12.10.2018
000-070099;2018;10;8;уб.нд-3130;1;501.4995456;501.4995456;;319.79;12.10.2018
000-070099;2018;10;8;уб.нд-3192;1;983.76828;983.76828;;513.39;12.10.2018
000-070108;2018;6;2;уб.нд-3364;1;1306.20672;1306.20672;Customer 1031;740.48;07.06.2018
000-070111;2018;11;15;уб.нд-3168;1;860.88816;860.88816;;359.72;18.11.2018
000-070126;2018;11;6;уб.нд-3249;1;498.873312;498.873312;Customer 437;314.82;10.11.2018
000-070126;2018;11;6;уб.нд-3312;1;400.0932;400.0932;Customer 437;226.59;10.11.2018
000-070126;2018;11;6;уб.нд-3327;1;456.8512;456.8512;Customer 437;291.2;10.11.2018
000-070126;2018;11;6;уб.нд-3244;1;317.016;317.016;Customer 437;191.52;10.11.2018
000-070131;2018;7;12;уб.нд-3130;2;610.51024;1221.02048;;526.38;12.07.2018
000-070131;2018;7;12;уб.нд-3247;1;455.301;455.301;;221.19;12.07.2018
000-070131;2018;7;12;уб.нд-3237;1;80.31744;80.31744;;53.76;12.07.2018
000-070131;2018;7;12;уб.нд-3297;1;325.6932;325.6932;;175.72;12.07.2018
000-070135;2017;7;17;уб.нд-3237;1;117.1968;117.1968;;67.2;17.07.2017
000-070135;2017;7;17;уб.нд-3124;2;3761.4372048;7522.8744096;;3467.64;17.07.2017
000-070135;2017;7;17;уб.нд-3205;1;5774.4819;5774.4819;;3274.56;17.07.2017
000-070135;2017;7;17;уб.нд-3168;1;848.0183168;848.0183168;;391;17.07.2017
000-070135;2017;7;17;уб.нд-3345;1;487.05432;487.05432;;274.51;17.07.2017
000-070135;2017;7;17;уб.нд-3132;1;215.33592;215.33592;;120.51;17.07.2017
000-070152;2019;9;14;уб.нд-3297;1;347.40608;347.40608;;181.45;15.09.2019
000-070160;2019;1;28;уб.нд-3133;1;719.992;719.992;;409.5;02.02.2019
000-070160;2019;1;28;уб.нд-3414;1;470.758288;470.758288;;291.46;02.02.2019
000-070170;2017;7;29;уб.нд-3292;1;1758.84752;1758.84752;Customer 318;1361;29.07.2017
000-070170;2017;7;29;уб.нд-3279;2;1294.82592;2589.65184;Customer 318;2022.92;29.07.2017
000-070170;2017;7;29;уб.нд-3198;1;2087.6544;2087.6544;Customer 318;1224;29.07.2017
000-070170;2017;7;29;уб.нд-3213;1;361.8045;361.8045;Customer 318;170.13;29.07.2017
000-070170;2017;7;29;уб.нд-3242;1;639.146376;639.146376;Customer 318;383.76;29.07.2017
000-070170;2017;7;29;уб.нд-3391;1;466.9951;466.9951;Customer 318;236.47;29.07.2017
000-070204;2017;3;14;уб.нд-3188;2;959.8915392;1919.7830784;;1094.84;14.03.2017
000-070232;2018;6;7;уб.нд-3389;1;862.302;862.302;;381.29;07.06.2018
000-070232;2018;6;7;уб.нд-3345;1;448.47576;448.47576;;268.85;07.06.2018
000-070239;2018;4;30;уб.нд-3122;1;3904.3755072;3904.3755072;;2620.85;30.04.2018
000-070239;2018;4;30;уб.нд-3113;1;3470.291952;3470.291952;;1807.62;30.04.2018
000-070245;2018;11;23;уб.нд-3417;1;247.744;247.744;;180.12;26.11.2018
000-070248;2019;7;12;уб.нд-3164;1;457.746;457.746;Customer 421;266.8;12.07.2019
000-070248;2019;7;12;уб.нд-3417;1;297.2928;297.2928;Customer 421;154.84;12.07.2019
000-070256;2018;12;28;уб.нд-3199;1;431.145;431.145;;206.7;01.01.2019
000-070256;2018;12;28;уб.нд-3139;1;69.4046;69.4046;;44.03;01.01.2019
000-070256;2018;12;28;уб.нд-3232;1;356.212;356.212;;144.4;01.01.2019
000-070270;2019;5;12;уб.нд-3212;1;618.1713;618.1713;;308.46;16.05.2019
000-070272;2019;5;5;уб.нд-3121;1;8807.898;8807.898;;3188.7;10.05.2019
000-070272;2019;5;5;уб.нд-3175;1;2184.1344432;2184.1344432;;1376.94;10.05.2019
000-070274;2017;7;30;уб.нд-3383;2;364.786928;729.573856;;455.62;30.07.2017
000-070275;2019;7;21;уб.нд-3386;1;860.1264;860.1264;;426.65;21.07.2019
000-070276;2018;6;16;уб.нд-3171;1;1279.927824;1279.927824;Customer 1129;706.86;16.06.2018
000-070276;2018;6;16;уб.нд-3393;2;85.3034;170.6068;Customer 1129;86.86;16.06.2018
000-070276;2018;6;16;уб.нд-3304;1;788.04;788.04;Customer 1129;579.15;16.06.2018
000-070301;2017;7;20;уб.нд-3304;1;627.910272;627.910272;;504.9;20.07.2017
000-070307;2017;9;23;уб.нд-3358;1;441.936;441.936;;306.24;23.09.2017
000-070307;2017;9;23;уб.нд-3148;1;432.4096;432.4096;;215.04;23.09.2017
000-070307;2017;9;23;уб.нд-3203;1;5698.098;5698.098;;3077.37;23.09.2017
000-070322;2018;6;11;уб.нд-3302;1;458.6384;458.6384;Customer 1044;245.41;11.06.2018
000-070322;2018;6;11;уб.нд-3249;1;673.1424;673.1424;Customer 1044;305.28;11.06.2018
000-070322;2018;6;11;уб.нд-3195;1;2593.008;2593.008;Customer 1044;1898.92;11.06.2018
000-070330;2017;3;2;уб.нд-3397;1;479.9916;479.9916;Customer 62;301.07;07.03.2017
000-070330;2017;3;2;уб.нд-3278;1;2746.7616;2746.7616;Customer 62;1774.52;07.03.2017
000-070330;2017;3;2;уб.нд-3284;1;212.992416;212.992416;Customer 62;175.77;07.03.2017
000-070347;2019;8;11;уб.нд-3267;1;901.01856;901.01856;;483;11.08.2019
000-070347;2019;8;11;уб.нд-3335;2;276.52992;553.05984;;401.12;11.08.2019
000-070355;2017;3;19;уб.нд-3259;1;1561.4144;1561.4144;Customer 580;911.54;20.03.2017
000-070355;2017;3;19;уб.нд-3146;2;366.61248;733.22496;Customer 580;395.2;20.03.2017
000-070355;2017;3;19;уб.нд-3130;2;551.032696;1102.065392;Customer 580;656.56;20.03.2017
000-070355;2017;3;19;уб.нд-3191;1;1117.61128;1117.61128;Customer 580;593.1;20.03.2017
000-070357;2019;7;11;уб.нд-3333;1;351.232;351.232;Customer 792;236;11.07.2019
000-070364;2017;9;12;уб.нд-3159;1;707.16107;707.16107;Customer 855;435.05;12.09.2017
000-070364;2017;9;12;уб.нд-3422;1;422.997;422.997;Customer 855;166.52;12.09.2017
000-070364;2017;9;12;уб.нд-3345;1;385.7856;385.7856;Customer 855;263.19;12.09.2017
000-070364;2017;9;12;уб.нд-3365;1;2200.256996;2200.256996;Customer 855;1058.34;12.09.2017
000-070371;2018;1;16;уб.нд-3147;1;501.2832;501.2832;Customer 387;298.92;21.01.2018
000-070371;2018;1;16;уб.нд-3275;1;406.679;406.679;Customer 387;219.35;21.01.2018
000-070379;2018;5;19;уб.нд-3407;1;436.59;436.59;;218.4;19.05.2018
000-070379;2018;5;19;уб.нд-3254;1;1674.4644;1674.4644;;852.84;19.05.2018
000-070379;2018;5;19;уб.нд-3385;2;369.6232;739.2464;;457.84;19.05.2018
000-070401;2019;5;30;уб.нд-3195;1;2884.7214;2884.7214;;1767.96;01.06.2019
000-070401;2019;5;30;уб.нд-3339;1;743.97312;743.97312;;489.06;01.06.2019
000-070410;2019;7;18;уб.нд-3434;1;1635.156;1635.156;;951.27;18.07.2019
000-070415;2019;6;11;уб.нд-3188;1;1278.44792;1278.44792;;585.36;11.06.2019
000-070415;2019;6;11;уб.нд-3251;1;577.0332;577.0332;;309.06;11.06.2019
000-070442;2017;1;10;уб.нд-3298;1;198.3320064;198.3320064;;173.74;10.01.2017
000-070442;2017;1;10;уб.нд-3327;2;480.896;961.792;;652.8;10.01.2017
000-070444;2019;4;28;уб.нд-3398;1;211.048;211.048;Customer 287;133.92;28.04.2019
000-070446;2019;6;27;уб.нд-3398;1;229.4;229.4;Customer 20;137.64;29.06.2019
000-070446;2019;6;27;уб.нд-3160;1;444.05;444.05;Customer 20;282.5;29.06.2019
000-070446;2019;6;27;уб.нд-3191;1;1182.8485896;1182.8485896;Customer 20;790.8;29.06.2019
000-070446;2019;6;27;уб.нд-3228;1;517.776;517.776;Customer 20;274.4;29.06.2019
000-070452;2018;12;19;уб.нд-3108;2;3460.6394964;6921.2789928;;3623.04;19.12.2018
000-070454;2018;10;19;уб.нд-3396;1;420.024;420.024;;207.68;19.10.2018
000-070460;2018;1;31;уб.нд-3306;1;386.20032;386.20032;;223.45;02.02.2018
000-070473;2017;12;15;уб.нд-3283;2;2577.472;5154.944;;3597.2;15.12.2017
000-070482;2017;4;21;уб.нд-3211;1;3224.502;3224.502;;1613.1;21.04.2017
000-070482;2017;4;21;уб.нд-3170;1;1617.5118;1617.5118;;656.7;21.04.2017
000-070495;2018;11;25;уб.нд-3265;2;863.176668;1726.353336;;831.42;25.11.2018
000-070495;2018;11;25;уб.нд-3396;1;374.616;374.616;;174.24;25.11.2018
000-070495;2018;11;25;уб.нд-3441;1;734.58;734.58;;326.7;25.11.2018
000-070499;2019;4;5;уб.нд-3213;1;260.76;260.76;Customer 1053;170.13;05.04.2019
000-070499;2019;4;5;уб.нд-3346;1;714.05408;714.05408;Customer 1053;433.8;05.04.2019
000-070522;2018;10;9;уб.нд-3176;2;1169.6401104;2339.2802208;Customer 489;1768.34;09.10.2018
000-070522;2018;10;9;уб.нд-3171;1;1475.06688;1475.06688;Customer 489;699.72;09.10.2018
000-070522;2018;10;9;уб.нд-3440;1;804.425076;804.425076;Customer 489;560.7;09.10.2018
000-070522;2018;10;9;уб.нд-3283;1;2293.95008;2293.95008;Customer 489;1798.6;09.10.2018
000-070522;2018;10;9;уб.нд-3279;2;1579.056;3158.112;Customer 489;2219.32;09.10.2018
000-070522;2018;10;9;уб.нд-3263;1;1251.756;1251.756;Customer 489;655.4;09.10.2018
000-070524;2017;2;6;уб.нд-3291;1;2228.17504;2228.17504;;1543.2;06.02.2017
000-070539;2018;11;8;уб.нд-3440;2;904.82028;1809.64056;Customer 647;961.2;10.11.2018
000-070539;2018;11;8;уб.нд-3421;1;637.8281;637.8281;Customer 647;387.6;10.11.2018
000-070542;2017;9;20;уб.нд-3253;1;355.031312;355.031312;Customer 800;183.7;20.09.2017
000-070555;2018;8;15;уб.нд-3179;1;982.6476;982.6476;;534.54;16.08.2018
000-070555;2018;8;15;уб.нд-3335;1;291.39712;291.39712;;187.68;16.08.2018
000-070555;2018;8;15;уб.нд-3322;1;380.60672;380.60672;;292.98;16.08.2018
000-070555;2018;8;15;уб.нд-3227;2;242.55;485.1;;220;16.08.2018
000-070566;2018;6;23;уб.нд-3438;1;506.268;506.268;Customer 967;236.16;27.06.2018
000-070566;2018;6;23;уб.нд-3135;1;911.66208;911.66208;Customer 967;418.46;27.06.2018
000-070566;2018;6;23;уб.нд-3393;1;100.62989;100.62989;Customer 967;46.44;27.06.2018
000-070646;2019;4;20;уб.нд-3226;1;203.2452;203.2452;;163.2;20.04.2019
000-070646;2019;4;20;уб.нд-3328;1;424.99184;424.99184;;221.34;20.04.2019
000-070646;2019;4;20;уб.нд-3147;1;514.1001;514.1001;;321.48;20.04.2019
000-070650;2018;7;11;уб.нд-3343;1;1831.35696;1831.35696;Customer 1128;1170.79;14.07.2018
000-070650;2018;7;11;уб.нд-3375;1;5728.88;5728.88;Customer 1128;3882.07;14.07.2018
000-070650;2018;7;11;уб.нд-3246;1;219.3821;219.3821;Customer 1128;103.79;14.07.2018
000-070651;2018;10;30;уб.нд-3149;1;552.4932;552.4932;;275.6;30.10.2018
000-070651;2018;10;30;уб.нд-3123;1;3367.50552;3367.50552;;1514.34;30.10.2018
000-070657;2017;4;19;уб.нд-3283;1;2706.3456;2706.3456;;1470.16;19.04.2017
000-070689;2018;5;23;уб.нд-3383;1;436.5801;436.5801;;223.63;23.05.2018
000-070689;2018;5;23;уб.нд-3239;1;557.442;557.442;;403.3;23.05.2018
000-070689;2018;5;23;уб.нд-3276;2;523.218;1046.436;;576.6;23.05.2018
000-070709;2019;7;25;уб.нд-3117;1;4965.69696;4965.69696;Customer 770;2898.42;25.07.2019
000-070716;2017;3;9;уб.нд-3320;1;407.8844;407.8844;;289.87;14.03.2017
000-070724;2017;7;28;уб.нд-3181;1;1575.776376;1575.776376;Customer 1173;987.66;30.07.2017
000-070724;2017;7;28;уб.нд-3344;1;1192.27392;1192.27392;Customer 1173;753.39;30.07.2017
000-070724;2017;7;28;уб.нд-3446;2;1309.035728;2618.071456;Customer 1173;1514.04;30.07.2017
000-070740;2017;11;11;уб.нд-3282;2;1040.83368;2081.66736;Customer 838;1602.84;11.11.2017
000-070758;2018;7;6;уб.нд-3278;1;3325.0272;3325.0272;;1888.48;09.07.2018
000-070759;2018;5;30;уб.нд-3389;1;895.1516;895.1516;;419;30.05.2018
